"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
533;2004-01-28 00:00:00;13;18;21;27;53;59;0;82;5129;0.00;12747.27;203.03;-;0.00;0.00;12903975.95;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$15.000.000,00 (QUINZE MILHÕES DE REAIS).
534;2004-01-31 00:00:00;3;8;23;31;48;57;1;107;6559;15184658.12;12179.88;197.95;MT;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00. (OITO MILHÕES DE REAIS).
535;2004-02-04 00:00:00;6;14;28;47;49;56;1;59;4136;7834139.14;12025.02;170.89;DF;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
536;2004-02-07 00:00:00;14;15;22;23;25;37;0;49;3217;0.00;12551.38;190.46;-;0.00;0.00;1076280.35;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
537;2004-02-11 00:00:00;3;7;19;34;37;39;1;128;5345;2054340.05;4366.34;104.17;RS;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
538;2004-02-14 00:00:00;3;25;43;45;52;56;0;36;2657;0.00;16533.54;223.17;-;0.00;0.00;1041612.80;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
539;2004-02-18 00:00:00;6;16;19;47;50;55;0;21;1908;0.00;25214.62;276.47;-;0.00;0.00;5728373.54;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
540;2004-02-21 00:00:00;4;22;28;30;44;49;0;84;4535;0.00;10186.19;187.97;-;0.00;0.00;7225743.35;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS). A CAIXA informa que o concurso 541 da Mega Sena ocorrerá em 28/02/2004 (sábado) às 20 horas.
541;2004-02-28 00:00:00;13;27;49;52;57;58;1;54;4879;9144543.50;20304.76;223.88;MG;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
542;2004-03-03 00:00:00;4;6;19;28;35;49;0;42;2800;0.00;9683.43;144.70;-;0.00;0.00;711731.71;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.700.000,00 (HUM MILHÃO E SETECENTOS MIL REAIS).
543;2004-03-06 00:00:00;35;37;42;46;49;54;1;78;2557;1836749.58;8241.89;250.47;PR;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
544;2004-03-10 00:00:00;11;17;33;34;47;56;0;39;2415;0.00;10062.10;161.89;-;0.00;0.00;4929350.89;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$6.000.000,00 (SEIS MILHÕES DE REAIS).
545;2004-03-13 00:00:00;17;29;35;40;43;57;1;102;4315;6409645.53;8292.97;195.29;ES;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$750.000,00.
546;2004-03-17 00:00:00;4;5;13;17;46;54;0;32;3003;0.00;12224.97;129.78;-;0.00;0.00;684598.29;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.500.000,00 (HUM MILHÃO E QUINHENTOS MIL REAIS).
547;2004-03-20 00:00:00;4;13;28;30;53;59;1;42;2599;1746857.35;14452.51;232.67;PB;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$850.000,00.
548;2004-03-24 00:00:00;14;47;49;51;58;59;0;9;965;0.00;41634.70;386.83;-;0.00;0.00;655746.39;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.700.000,00 (HUM MILHÃO E SETECENTOS MIL REAIS).
549;2004-03-27 00:00:00;8;13;22;46;51;58;0;34;2772;0.00;17519.41;214.07;-;0.00;0.00;5216225.00;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00 (SETE MILHÕES DE REAIS).
550;2004-03-31 00:00:00;16;17;38;39;45;56;0;39;2948;0.00;18277.00;240.88;-;0.00;0.00;6463630.53;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00 (OITO MILHÕES DE REAIS).
551;2004-04-03 00:00:00;12;21;46;48;56;57;0;35;3027;0.00;28192.58;324.75;-;0.00;0.00;8190426.28;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
552;2004-04-07 00:00:00;9;22;47;49;52;54;0;69;4299;0.00;14110.09;225.61;-;0.00;0.00;9894220.21;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$11.500.000,00 (ONZE MILHÕES E QUINHENTOS MIL REAIS).
553;2004-04-10 00:00:00;4;43;46;53;54;58;0;42;3308;0.00;23814.78;301.22;-;0.00;0.00;11644606.76;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.500.000,00 (TREZE MILHÕES E QUINHENTOS MIL REAIS).
554;2004-04-14 00:00:00;15;29;31;42;47;60;0;64;4812;0.00;20951.21;277.60;-;0.00;0.00;20258939.21;Sim;Não;ACUMULOU !!! Estimativa de prêmio (SENA) próximo concurso: R$23.000.000,00 (VINTE E TRÊS MILHÕES DE REAIS).
555;2004-04-17 00:00:00;5;23;31;33;45;49;1;152;10733;23810057.19;13350.07;188.35;PR;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$1.300.000,00 (UM MILHÃO E TREZENTOS MIL REAIS).
556;2004-04-21 00:00:00;8;10;17;30;33;45;0;20;1699;0.00;14872.57;174.41;-;0.00;0.00;520539.87;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$1.400.000,00. (UM MILHÃO E QUATROCENTOS MIL REAIS)
557;2004-04-24 00:00:00;8;12;18;23;38;49;0;59;3777;0.00;11001.41;171.20;-;0.00;0.00;1656435.01;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.500.000,00 (DOIS MILHÕES E QUINHENTOS MIL REAIS).
558;2004-04-28 00:00:00;7;14;31;57;58;59;0;21;2000;0.00;26571.46;277.94;-;0.00;0.00;2632936.06;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.700.000,00 (TRÊS MILHÕES E SETECENTOS MIL REAIS).
559;2004-05-01 00:00:00;6;13;17;25;36;53;1;75;4460;3707152.54;8184.51;137.11;ES;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$6.500.000,00 (SEIS MILHÕES E QUINHENTOS MIL REAIS).
560;2004-05-05 00:00:00;2;11;18;30;32;58;0;44;2585;0.00;16215.47;274.97;-;0.00;0.00;6433069.85;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$8.000.000,00 (OITO MILHÕES DE REAIS).
561;2004-05-08 00:00:00;1;20;36;39;49;55;0;32;2743;0.00;31342.98;364.27;-;0.00;0.00;8188276.67;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
562;2004-05-12 00:00:00;16;23;35;37;55;57;0;117;5150;0.00;8271.95;187.22;-;0.00;0.00;9881959.48;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
563;2004-05-15 00:00:00;5;8;23;34;44;51;0;90;6007;0.00;13541.69;202.12;-;0.00;0.00;12014774.50;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
564;2004-05-19 00:00:00;10;13;20;32;38;49;0;46;4446;0.00;25392.82;261.73;-;0.00;0.00;20397765.64;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$23.000.000,00 (VINTE E TRÊS MILHÕES DE REAIS).
565;2004-05-22 00:00:00;7;31;34;35;37;45;0;57;6804;0.00;29241.27;244.04;-;0.00;0.00;23314582.63;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$27.000.000,00 (VINTE E SETE MILHÕES DE REAIS).
566;2004-05-26 00:00:00;6;13;17;18;20;37;0;176;13032;0.00;11334.45;152.49;-;0.00;0.00;26805592.27;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$32.000.000,00 (TRINTA E DOIS MILHÕES DE REAIS).
567;2004-05-29 00:00:00;11;31;38;41;57;58;0;69;5787;0.00;37888.61;450.05;-;0.00;0.00;31380642.06;Sim;Não;ACUMULOU!!! Estimatva de prêmio (SENA) próximo concurso: R$36.000.000,00 (TRINTA E SEIS MILHÕES DE REAIS).
568;2004-06-02 00:00:00;13;17;22;25;29;41;0;457;24931;0.00;7802.44;142.48;-;0.00;0.00;37620642.34;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$45.000.000,00 (QUARENTA E CINCO MILHÕES DE REAIS).
569;2004-06-05 00:00:00;3;9;14;15;32;57;1;434;29922;46663532.70;11906.37;172.04;RJ;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$21.000.000,00 (VINTE E UM MILHÕES DE REAIS).
570;2004-06-09 00:00:00;15;32;33;35;36;51;0;84;7539;0.00;18168.10;201.67;-;0.00;0.00;21431972.38;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$25.000.000,00 (VINTE E CINCO MILHÕES DE REAIS).
571;2004-06-12 00:00:00;12;13;14;31;50;51;0;69;5572;0.00;22294.35;275.04;-;0.00;0.00;24124014.99;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso:R$27.000.000,00 (VINTE E SETE MILHÕES DE REAIS).
572;2004-06-16 00:00:00;3;9;16;20;33;60;0;162;9940;0.00;10668.49;173.21;-;0.00;0.00;27148533.16;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) para o próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
573;2004-06-19 00:00:00;6;17;22;29;40;59;0;82;8272;0.00;25012.22;247.00;-;0.00;0.00;30737786.41;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$34.000.000,00 (TRINTA E QUATRO MILHÕES DE REAIS).
574;2004-06-23 00:00:00;2;10;17;23;32;44;0;162;12691;0.00;12609.31;160.35;-;0.00;0.00;45420567.88;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$50.000.000,00 (CINQÜENTA MILHÕES DE REAIS).
575;2004-06-26 00:00:00;5;18;21;29;35;48;2;470;21660;25737016.52;7359.84;159.10;DF::SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
576;2004-06-30 00:00:00;7;8;18;39;43;52;0;27;1978;0.00;22856.21;310.81;-;0.00;0.00;1079955.77;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
577;2004-07-03 00:00:00;8;23;24;28;31;47;0;57;4579;0.00;15092.90;187.17;-;0.00;0.00;2585472.50;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.000.000,00 (QUATRO MILHÕES DE REAIS).
578;2004-07-07 00:00:00;3;18;23;48;56;58;1;62;3639;3982872.62;12879.26;218.60;MG;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
579;2004-07-10 00:00:00;4;9;15;17;34;39;1;90;5172;1175432.13;7463.06;129.38;PB;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
580;2004-07-14 00:00:00;15;16;18;28;38;47;0;56;4097;0.00;16168.75;220.17;-;0.00;0.00;9592944.81;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
581;2004-07-17 00:00:00;14;17;25;30;39;52;1;56;4429;11781320.02;22330.36;281.27;SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$900.000,00.
582;2004-07-21 00:00:00;13;29;40;45;51;59;0;29;1943;0.00;17143.40;254.91;-;0.00;0.00;870027.37;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
583;2004-07-24 00:00:00;6;7;20;41;43;55;0;36;2157;0.00;20218.13;336.16;-;0.00;0.00;2143769.60;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$3.500.000,00 (TRÊS MILHÕES E QUINHENTOS MIL REAIS).
584;2004-07-28 00:00:00;7;8;23;30;32;53;0;49;3278;0.00;13327.92;198.48;-;0.00;0.00;8329175.80;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00. (DEZ MILHÕES DE REAIS).
585;2004-07-31 00:00:00;12;24;33;36;39;57;1;124;7122;10166807.68;8468.35;146.89;MG;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.
586;2004-08-04 00:00:00;11;13;38;39;45;54;0;30;2162;0.00;15687.92;216.87;-;0.00;0.00;823615.95;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$1.800.000,00 (HUM MILHÃO E OITOCENTOS MIL REAIS).
587;2004-08-07 00:00:00;2;18;29;30;36;60;0;36;2436;0.00;20518.92;302.09;-;0.00;0.00;2116308.12;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$3.000.000,00 (TRÊS MILHÕES DE REAIS).
588;2004-08-11 00:00:00;11;13;45;46;53;55;0;22;2088;0.00;29565.71;310.34;-;0.00;0.00;3254587.92;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$4.500.000,00 (QUATRO MILHÕES E QUINHENTOS MIL REAIS).
589;2004-08-14 00:00:00;6;7;8;13;33;59;0;152;9005;0.00;5926.91;99.66;-;0.00;0.00;9594559.27;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
590;2004-08-18 00:00:00;4;5;18;25;28;51;0;70;5155;0.00;14105.62;190.82;-;0.00;0.00;11322497.59;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
591;2004-08-21 00:00:00;1;3;18;34;50;58;0;64;4448;0.00;18968.95;271.90;-;0.00;0.00;13447020.10;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$16.000.000,00.
592;2004-08-25 00:00:00;13;14;42;47;55;59;0;60;5062;0.00;18664.59;220.39;-;0.00;0.00;15406801.69;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$18.000.000,00 (DEZOITO MILHÕES DE REAIS).
593;2004-08-28 00:00:00;1;25;27;29;49;59;0;68;5291;0.00;20265.54;259.47;-;0.00;0.00;17818401.51;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00 (VINTE MILHÕES DE REAIS).
594;2004-09-01 00:00:00;10;13;29;47;53;55;0;121;6444;0.00;11747.70;219.76;-;0.00;0.00;27956987.94;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
595;2004-09-04 00:00:00;1;2;25;43;50;54;0;89;7230;0.00;22736.36;278.82;-;0.00;0.00;31498176.46;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$35.000.000,00 (TRINTA E CINCO MILHÕES DE REAIS).
596;2004-09-08 00:00:00;11;14;28;43;54;60;0;116;6578;0.00;15749.68;276.69;-;0.00;0.00;34695360.86;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$39.000.000,00 (TRINTA E NOVE MILHÕES DE REAIS).
597;2004-09-11 00:00:00;22;27;29;40;42;56;0;140;10021;0.00;21650.75;301.33;-;0.00;0.00;39999792.49;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$45.000.000,00 (Quarenta e cinco milhões de reais).
598;2004-09-15 00:00:00;5;16;34;38;50;53;2;234;19229;23179951.19;15531.40;188.29;DF::RS;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.
599;2004-09-18 00:00:00;4;6;9;23;45;51;0;65;4755;0.00;10375.80;141.31;-;0.00;0.00;15168219.08;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$17.000.000,00 (DEZESSETE MILHÕES DE REAIS).
600;2004-09-22 00:00:00;16;18;31;34;39;54;0;73;4640;0.00;16062.92;251.75;-;0.00;0.00;17220256.51;Sim;Não;Estimativa de prêmio (SENA) próximo concurso: R$20.000.000,00.
601;2004-09-25 00:00:00;10;19;22;29;30;37;0;75;6002;0.00;18837.59;234.50;-;0.00;0.00;19692689.90;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$22.000.000,00 (vinte e dois milhões de reais).
602;2004-09-29 00:00:00;7;13;38;46;55;60;0;95;6773;0.00;13988.93;195.47;-;0.00;0.00;22018349.56;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$24.000.000,00.
603;2004-10-02 00:00:00;4;8;11;12;29;44;1;233;12565;24750883.61;6701.50;123.80;SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00.
604;2004-10-06 00:00:00;15;25;41;46;49;51;0;15;1422;0.00;35679.23;374.94;-;0.00;0.00;8450325.62;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
605;2004-10-09 00:00:00;4;24;44;49;52;53;0;45;3980;0.00;23716.98;267.15;-;0.00;0.00;10318037.87;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
606;2004-10-13 00:00:00;6;23;32;35;41;55;1;43;3770;11878491.65;20736.93;235.63;SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00 (HUM MILHÃO DE REAIS).
607;2004-10-16 00:00:00;6;11;19;27;41;59;0;48;3059;0.00;13506.67;211.14;-;0.00;0.00;1134560.21;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$2.000.000,00 (DOIS MILHÕES DE REAIS).
608;2004-10-20 00:00:00;6;13;19;24;30;37;0;101;5181;0.00;6267.54;121.72;-;0.00;0.00;2242347.59;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$3.500.000,00 (TRÊS MILHÕES E QUINHENTOS MIL REAIS).
609;2004-10-23 00:00:00;2;6;15;58;59;60;0;60;3994;0.00;13952.24;208.81;-;0.00;0.00;8804117.70;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
610;2004-10-27 00:00:00;25;30;43;45;47;49;0;62;4044;0.00;14911.12;227.75;-;0.00;0.00;10421973.58;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
611;2004-10-30 00:00:00;16;21;22;33;48;49;0;69;4531;0.00;16349.76;248.04;-;0.00;0.00;12396207.89;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$14.000.000,00 (QUATORZE MILHÕES DE REAIS).
612;2004-11-03 00:00:00;15;18;33;50;53;55;0;41;3389;0.00;22250.05;268.16;-;0.00;0.00;13992649.10;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$16.000.000,00 (DEZESSEIS MILHÕES DE REAIS).
613;2004-11-06 00:00:00;6;13;19;44;54;55;0;108;7101;0.00;12259.22;185.76;-;0.00;0.00;16309642.40;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$18.000.000,00 (DEZOITO MILHÕES DE REAIS).
614;2004-11-10 00:00:00;12;16;31;48;57;60;0;53;4127;0.00;24951.84;319.23;-;0.00;0.00;25638073.79;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$28.000.000,00 (VINTE E OITO MILHÕES DE REAIS).
615;2004-11-13 00:00:00;5;8;10;27;31;51;0;157;9780;0.00;11348.03;181.48;-;0.00;0.00;28755943.65;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
616;2004-11-17 00:00:00;2;12;16;24;26;54;0;90;9236;0.00;18187.52;176.56;-;0.00;0.00;31620478.41;Sim;Não;Acumulou!!! Estimativa de prêmio (SENA) próximo concurso: R$35.000.000,00 (TRINTA E CINCO MILHÕES DE REAIS).
617;2004-11-20 00:00:00;3;5;25;33;36;49;2;289;17341;17791387.59;7834.50;130.08;RJ::SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$ 1.000.000,00.
618;2004-11-24 00:00:00;3;8;10;13;24;60;0;86;4992;0.00;6312.56;108.34;-;0.00;0.00;950038.98;Sim;Não;ACUMULOU! Estimativa de prêmio (SENA) próximo concurso: R$2.000.000,00.
619;2004-11-27 00:00:00;8;12;14;16;19;46;0;101;5924;0.00;7354.06;124.91;-;0.00;0.00;10960275.81;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
620;2004-12-01 00:00:00;1;3;13;22;29;32;0;87;5886;0.00;11707.09;172.39;-;0.00;0.00;12742680.43;Sim;Não;ACUMULOU! Estimativa de prêmio (SENA) para o próximo concurso: R$15.000.000,00 (QUINZE MILHÕES DE REAIS).
621;2004-12-04 00:00:00;26;29;31;49;50;57;0;40;3837;0.00;32904.81;341.73;-;0.00;0.00;15046017.24;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$17.000.000,00 (DEZESSETE MILHÕES DE REAIS).
622;2004-12-08 00:00:00;19;27;29;38;50;59;0;49;3560;0.00;24789.92;339.92;-;0.00;0.00;17171752.86;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$19.000.000,00 (DEZENOVE MILHÕES DE REAIS).
623;2004-12-11 00:00:00;9;23;30;42;49;55;0;124;6915;0.00;12236.03;218.59;-;0.00;0.00;19826970.07;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$22.000.000,00 (VINTE E DOIS MILHÕES DE REAIS).
624;2004-12-15 00:00:00;8;23;34;39;43;52;1;108;7284;22375180.08;13482.59;199.16;MG;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (SENA) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
625;2004-12-18 00:00:00;12;24;32;40;42;59;0;49;4056;0.00;20777.72;250.06;-;0.00;0.00;9935192.23;Sim;Não;ACUMULOU!!! Estimativa de prêmio (06 acertos) para o próximo concurso: R$12.000.000,00 (DOZE MILHÕES DE REAIS).
626;2004-12-22 00:00:00;7;8;18;22;39;49;0;52;5096;0.00;21294.16;216.47;-;0.00;0.00;11872960.59;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$14.000.000,00 (CATORZE MILHÕES DE REAIS). Informamos que não haverá sorteio das loterias nos dias 24 e 25/12/2004.
627;2004-12-29 00:00:00;1;13;19;45;56;58;0;112;8049;0.00;14270.18;197.82;-;0.00;0.00;14669915.47;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA)próximo concurso: R$17.000.000,00. O sorteio do concurso 628 será em 05/01/2005.
628;2005-01-05 00:00:00;8;16;22;30;56;58;1;76;5510;17373966.13;20331.21;279.37;SP;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$1.200.000,00.
629;2005-01-08 00:00:00;15;16;39;40;47;51;1;15;1865;1104456.38;42074.53;337.13;SE;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
630;2005-01-12 00:00:00;12;16;20;45;53;60;0;33;2972;0.00;24880.69;275.23;-;0.00;0.00;8811801.94;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).
631;2005-01-15 00:00:00;1;20;28;32;44;47;1;46;3548;10579247.17;21955.84;283.58;PR;0.00;0.00;0.00;Não;Não;Estimativa de prêmio (sena) para o próximo concurso: R$1.000.000,00.
632;2005-01-19 00:00:00;2;19;28;48;51;54;0;26;1962;0.00;19697.02;260.03;-;0.00;0.00;896214.44;Sim;Não;ACUMULOU! Estimativa de prêmio (SENA), próximo concurso: R$2.000.000,00 (Dois milhões de reais).
633;2005-01-22 00:00:00;5;11;22;27;46;50;0;58;3524;0.00;11744.77;192.57;-;0.00;0.00;2088308.43;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$3.500.000,00 (TRÊS MILHÕES E QUINHENTOS MIL REAIS).
634;2005-01-26 00:00:00;10;13;24;41;42;56;0;54;3752;0.00;11854.27;169.97;-;0.00;0.00;7789137.30;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
635;2005-01-29 00:00:00;8;20;26;37;42;49;0;58;3646;0.00;16456.84;260.80;-;0.00;0.00;9459506.58;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS).
636;2005-02-02 00:00:00;26;28;30;32;34;50;0;74;3170;0.00;12762.47;296.79;-;0.00;0.00;11112246.45;Sim;Não;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso: R$ 13.000.000,00 (TREZE MILHÕES DE REAIS).
637;2005-02-05 00:00:00;11;18;43;48;52;58;0;29;3560;0.00;38451.69;312.04;-;0.00;0.00;13063669.53;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$15.000.000,00 - QUINZE MILHÕES DE REAIS!
638;2005-02-12 00:00:00;10;11;36;41;42;50;0;65;4518;0.00;22677.35;325.03;-;0.00;0.00;15643218.50;Sim;Não;ACUMULOU! Estimativa de prêmio (SENA) próximo concurso: R$18.000.000,00 (DEZOITO MILHÕES DE REAIS).
639;2005-02-16 00:00:00;13;35;39;45;51;60;0;72;5473;0.00;17653.96;231.37;-;0.00;0.00;25066531.77;Sim;Não;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$28.000.000,00 (VINTE E OITO MILHÕES DE REAIS).
