"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
42;1996-12-22 00:00:00;7;11;19;24;33;36;0;201;9580;0.00;3684.64;77.31;-;0.00;0.00;888735.02;Sim;Não;-
43;1996-12-29 00:00:00;2;6;17;25;26;58;0;75;5070;0.00;9738.03;144.06;-;0.00;0.00;1765157.22;Sim;Não;-
44;1997-01-05 00:00:00;14;18;29;38;44;47;0;103;7742;0.00;7099.32;94.45;-;0.00;0.00;2642633.14;Sim;Não;-
45;1997-01-12 00:00:00;7;30;37;44;53;55;0;33;3004;0.00;27201.47;298.82;-;0.00;0.00;3719811.46;Sim;Não;-
46;1997-01-19 00:00:00;1;23;24;32;46;60;0;91;6263;0.00;9982.42;145.04;-;0.00;0.00;4809891.56;Sim;Não;-
47;1997-01-26 00:00:00;3;17;25;35;48;56;0;210;10873;0.00;4458.44;85.94;-;0.00;0.00;5933418.51;Sim;Não;-
48;1997-02-02 00:00:00;2;5;28;34;47;50;0;132;7454;0.00;7482.95;132.25;-;0.00;0.00;7118717.38;Sim;Não;-
49;1997-02-09 00:00:00;7;13;33;35;43;55;1;155;9830;8405156.76;6916.34;108.85;RJ;0.00;0.00;0.00;Não;Não;Ganhador RJ (Barra Mansa)
50;1997-02-16 00:00:00;6;16;21;44;57;58;0;31;2800;0.00;25241.25;278.91;-;0.00;0.00;8917830.39;Sim;Não;-
51;1997-02-23 00:00:00;17;23;24;25;42;47;0;143;9361;0.00;7231.47;110.25;-;0.00;0.00;10158749.73;Sim;Não;-
52;1997-03-02 00:00:00;15;30;38;46;58;59;0;77;6442;0.00;15544.23;185.43;-;0.00;0.00;11595036.71;Sim;Não;-
53;1997-03-09 00:00:00;3;13;16;38;42;46;0;210;10941;0.00;6337.79;121.41;-;0.00;0.00;13192159.46;Sim;Não;-
54;1997-03-16 00:00:00;5;9;18;21;36;56;2;207;13067;7469653.99;7033.61;111.20;BA::SP;0.00;0.00;0.00;Não;Não;Ganhadores dos estados: BA e SP.
55;1997-03-23 00:00:00;2;14;23;29;38;52;0;66;3840;0.00;10817.63;185.56;-;0.00;0.00;856756.39;Sim;Não;-
56;1997-03-30 00:00:00;2;7;20;35;51;59;0;48;2599;0.00;12142.20;223.81;-;0.00;0.00;1556147.46;Sim;Não;-
57;1997-04-06 00:00:00;7;16;17;27;34;59;0;79;6173;0.00;10699.10;136.65;-;0.00;0.00;2570421.80;Sim;Não;-
58;1997-04-13 00:00:00;12;27;30;37;44;49;1;65;5040;3631304.91;13601.07;175.06;SP;0.00;0.00;0.00;Não;Não;Ganhador do Estado: SP
59;1997-04-20 00:00:00;2;8;13;28;34;54;0;90;5351;0.00;7312.34;122.75;-;0.00;0.00;789733.42;Sim;Não;-
60;1997-04-27 00:00:00;3;14;15;20;21;38;0;129;7914;0.00;7111.47;115.69;-;0.00;0.00;9478249.26;Sim;Não;-
61;1997-05-04 00:00:00;8;18;29;42;44;59;0;52;3866;0.00;18902.94;253.76;-;0.00;0.00;10657792.45;Sim;Não;-
62;1997-05-11 00:00:00;6;8;13;24;31;52;0;119;8613;0.00;9968.70;137.46;-;0.00;0.00;12081323.45;Sim;Não;-
63;1997-05-18 00:00:00;9;25;26;40;41;49;1;82;6359;13680019.57;16246.91;209.10;MG;0.00;0.00;0.00;Não;Não;-
64;1997-05-25 00:00:00;8;12;23;50;54;60;0;29;2441;0.00;23309.96;276.38;-;0.00;0.00;811186.58;Sim;Não;-
65;1997-06-01 00:00:00;1;5;20;25;32;34;0;61;4932;0.00;11542.37;142.48;-;0.00;0.00;1656088.09;Sim;Não;-
66;1997-06-08 00:00:00;12;13;15;26;33;48;0;102;7686;0.00;8054.25;106.68;-;0.00;0.00;2641927.81;Sim;Não;-
67;1997-06-15 00:00:00;12;14;17;27;47;52;0;83;5479;0.00;10617.25;160.52;-;0.00;0.00;3699406.44;Sim;Não;-
68;1997-06-22 00:00:00;1;3;12;13;53;59;0;49;4758;0.00;18496.73;190.11;-;0.00;0.00;4787014.46;Sim;Não;-
69;1997-06-29 00:00:00;25;34;45;53;56;58;0;55;3661;0.00;17271.48;258.96;-;0.00;0.00;5926931.93;Sim;Não;-
70;1997-07-06 00:00:00;17;23;27;40;43;58;0;95;6071;0.00;12899.52;201.46;-;0.00;0.00;14883849.29;Sim;Não;-
71;1997-07-13 00:00:00;16;27;33;43;45;53;0;115;7430;0.00;12451.74;192.35;-;0.00;0.00;16602188.45;Sim;Não;-
72;1997-07-20 00:00:00;1;19;34;43;44;48;0;85;7982;0.00;19676.33;209.13;-;0.00;0.00;18609174.26;Sim;Não;-
